#OTU ID,RG025,RG026,RG027,RG029,RG031,RG032,RG033,RG034,RG037,RG038,RG043,RG045,RG048,RG049,RG050,YBH039,YBH041,YBH051,YBH052,YBH053,YBH055,YBH056,,,,YBH,,
Otu23,0,0,2,0,5,0,0,0,0,0,135,0,260,914,0,599,108,3140,1636,1,302,2188,400,,,,,
Otu544,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,93,61,0,6,67,0,,,,,
Otu664,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu669,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,,,,,
Otu598,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu582,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,99,0,1,0,4,169,0,,,,,
Otu641,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,95,47,0,6,61,0,,,,,
Otu69,0,0,1,0,0,0,0,0,0,0,0,682,1,0,0,30,0,0,0,0,0,0,683,,,,,
Otu460,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,2,268,1152,0,147,230,0,,,,,
Otu35,0,0,0,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu49,0,0,0,434,56,312,0,726,0,0,0,0,42,4,0,0,0,0,0,0,6,0,1136,,,,,
Otu58,0,0,0,136,0,0,0,0,0,526,0,1531,0,0,0,0,0,0,0,0,0,0,2057,,,,,
Otu736,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,
Otu177,0,0,0,12,0,0,17,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,137,,,,,
Otu409,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu671,0,0,0,2,9,0,0,0,1,0,3,0,0,0,0,0,2,0,0,17,0,0,13,,,,,
Otu1085,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
