,RGnumSampled,variable,value,Location
427,42500,usearch.RG025,46.702,Governors Island
428,42600,usearch.RG025,46.712,Governors Island
429,42700,usearch.RG025,46.718,Governors Island
430,42800,usearch.RG025,46.737,Governors Island
431,42900,usearch.RG025,46.745,Governors Island
432,43000,usearch.RG025,46.758,Governors Island
433,43100,usearch.RG025,46.774,Governors Island
434,43200,usearch.RG025,46.786,Governors Island
435,43300,usearch.RG025,46.794,Governors Island
436,43400,usearch.RG025,46.805,Governors Island
437,43500,usearch.RG025,46.823,Governors Island
438,43600,usearch.RG025,46.836,Governors Island
439,43700,usearch.RG025,46.847,Governors Island
440,43800,usearch.RG025,46.859,Governors Island
441,43900,usearch.RG025,46.87,Governors Island
442,44000,usearch.RG025,46.873,Governors Island
443,44100,usearch.RG025,46.88,Governors Island
444,44200,usearch.RG025,46.891,Governors Island
445,44300,usearch.RG025,46.9,Governors Island
446,44400,usearch.RG025,46.908,Governors Island
447,44500,usearch.RG025,46.918,Governors Island
448,44600,usearch.RG025,46.932,Governors Island
449,44700,usearch.RG025,46.938,Governors Island
450,44800,usearch.RG025,46.951,Governors Island
451,44900,usearch.RG025,46.957,Governors Island
452,45000,usearch.RG025,46.964,Governors Island
453,45100,usearch.RG025,46.977,Governors Island
454,45200,usearch.RG025,46.986,Governors Island
455,45300,usearch.RG025,46.998,Governors Island
456,45400,usearch.RG025,47.006,Governors Island
457,45500,usearch.RG025,47.018,Governors Island
458,45600,usearch.RG025,47.029,Governors Island
459,45700,usearch.RG025,47.038,Governors Island
460,45800,usearch.RG025,47.044,Governors Island
461,45900,usearch.RG025,47.056,Governors Island
462,46000,usearch.RG025,47.069,Governors Island
463,46100,usearch.RG025,47.075,Governors Island
464,46200,usearch.RG025,47.086,Governors Island
465,46300,usearch.RG025,47.097,Governors Island
466,46400,usearch.RG025,47.108,Governors Island
467,46500,usearch.RG025,47.118,Governors Island
468,46600,usearch.RG025,47.129,Governors Island
469,46700,usearch.RG025,47.144,Governors Island
470,46800,usearch.RG025,47.151,Governors Island
471,46900,usearch.RG025,47.163,Governors Island
472,47000,usearch.RG025,47.17,Governors Island
473,47100,usearch.RG025,47.176,Governors Island
474,47200,usearch.RG025,47.184,Governors Island
475,47300,usearch.RG025,47.193,Governors Island
476,47400,usearch.RG025,47.203,Governors Island
477,47500,usearch.RG025,47.209,Governors Island
478,47600,usearch.RG025,47.214,Governors Island
479,47700,usearch.RG025,47.223,Governors Island
480,47784,usearch.RG025,47.232,Governors Island
481,47800,usearch.RG025,47.235,Governors Island
482,47900,usearch.RG025,47.241,Governors Island
483,48000,usearch.RG025,47.249,Governors Island
484,48100,usearch.RG025,47.256,Governors Island
485,48200,usearch.RG025,47.265,Governors Island
486,48300,usearch.RG025,47.279,Governors Island
487,48400,usearch.RG025,47.295,Governors Island
488,48500,usearch.RG025,47.298,Governors Island
489,48600,usearch.RG025,47.315,Governors Island
490,48700,usearch.RG025,47.321,Governors Island
491,48800,usearch.RG025,47.331,Governors Island
492,48900,usearch.RG025,47.337,Governors Island
493,49000,usearch.RG025,47.342,Governors Island
494,49100,usearch.RG025,47.35,Governors Island
495,49200,usearch.RG025,47.357,Governors Island
496,49300,usearch.RG025,47.368,Governors Island
497,49400,usearch.RG025,47.374,Governors Island
498,49500,usearch.RG025,47.379,Governors Island
499,49600,usearch.RG025,47.383,Governors Island
500,49700,usearch.RG025,47.395,Governors Island
501,49800,usearch.RG025,47.399,Governors Island
502,49900,usearch.RG025,47.412,Governors Island
503,50000,usearch.RG025,47.423,Governors Island
504,50100,usearch.RG025,47.432,Governors Island
505,50200,usearch.RG025,47.438,Governors Island
506,50300,usearch.RG025,47.446,Governors Island
507,50400,usearch.RG025,47.454,Governors Island
508,50500,usearch.RG025,47.462,Governors Island
509,50600,usearch.RG025,47.473,Governors Island
510,50700,usearch.RG025,47.486,Governors Island
511,50800,usearch.RG025,47.497,Governors Island
