#OTU ID,RG025,RG026,RG027,RG029,RG031,RG032,RG033,RG034,RG037,RG038,RG043,RG045,RG048,RG049,RG050,,,,,,
Otu331,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu409,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu424,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu512,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu398,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu98,0,0,0,0,3,0,0,0,0,0,24,0,262,0,0,262,,,,,
Otu193,0,0,0,0,1,0,0,0,0,0,84,0,0,52,0,52,,,,,
Otu511,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu573,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu572,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu537,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu461,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu574,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu535,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu395,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu448,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu403,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu263,0,0,0,0,3,6,0,0,0,14,0,0,0,69,0,69,,,,,
Otu452,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu504,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu428,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu503,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu531,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu451,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu57,0,0,0,0,1,0,0,0,0,0,0,613,116,0,0,116,,,,,
Otu557,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu206,0,0,0,0,1,0,0,0,0,0,80,0,0,0,0,0,,,,,
Otu494,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu434,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu491,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu433,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu509,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu565,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu513,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu533,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu480,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu516,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu439,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu534,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu457,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu532,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu508,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu495,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu281,0,0,0,0,1,0,0,0,0,0,38,0,0,0,0,0,,,,,
Otu257,0,0,0,0,1,5,0,0,0,0,57,0,0,0,0,0,,,,,
Otu501,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu564,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu429,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,,,,,
Otu490,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu493,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu492,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu20,0,0,0,0,0,184,0,0,0,0,0,6,0,0,2130,2130,,,,,
Otu124,0,0,0,0,0,140,0,0,0,0,0,69,0,0,0,0,,,,,
Otu152,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,,,,,
Otu121,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,,,,,
Otu163,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,,,,,
Otu120,0,0,0,0,0,218,0,0,0,0,9,0,0,19,167,186,,,,,
Otu198,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,,,,,
Otu230,0,0,0,0,0,34,0,0,34,0,0,0,0,0,0,0,,,,,
Otu113,0,0,0,0,0,82,0,0,0,0,0,246,0,0,0,0,,,,,
Otu277,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,,,,,
Otu365,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,,,,,
Otu547,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,,,,,
Otu373,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,,,,,
Otu325,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,,,,,
Otu562,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
Otu405,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,,,,,
Otu483,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,,,,,
Otu234,0,0,0,0,0,1,0,0,0,0,68,0,0,0,0,0,,,,,
Otu338,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,,,,,
Otu171,0,0,0,0,0,1,0,0,0,0,0,126,0,0,0,0,,,,,
Otu393,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,,,,,
Otu356,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,,,,,
Otu436,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,
Otu313,0,0,0,0,0,1,0,0,0,0,0,0,2,1,18,21,,,,,
Otu570,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
Otu242,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,,,,,
Otu112,0,0,0,0,0,0,5,0,0,0,0,0,0,1,248,249,,,,,
Otu29,0,0,0,0,0,0,118,1959,0,0,0,0,0,0,0,0,,,,,
